[2026-07-03 11:49:42] [INFO    ] discord.client: logging in using static token
[2026-07-03 11:49:42] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-07-03 11:49:42] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-07-03 11:49:42] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1522479032111730778', 'username': 'KhaosCounting', 'avatar': 'aa0b616ea9b4c089de5c8bb33f3ba0a6', 'discriminator': '2436', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-07-03 11:49:42] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-07-03 11:49:42] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-07-03 11:49:42] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1522479032111730778', 'name': 'KhaosCounting', 'icon': 'aa0b616ea9b4c089de5c8bb33f3ba0a6', 'description': 'Created by the coder of the universe, this bot aims to clean up the counting channel. Any message sent there that is not a number in order will be deleted.', 'type': None, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot': {'id': '1522479032111730778', 'username': 'KhaosCounting', 'avatar': 'aa0b616ea9b4c089de5c8bb33f3ba0a6', 'discriminator': '2436', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '181b04ec596e9f32458ac28987b9319fea1226af7972e9412f90d32843b4e159', 'flags': 565248, 'flags_new': '565248', 'hook': True, 'storefront_available': False, 'redirect_uris': ['https://discord.gg/DzURdfGrjk'], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1291836826822115458', 'username': 'unseeinganarchist', 'avatar': '4599fda2065333847ea9567394cd7984', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 8914952, 'global_name': 'Unseeing Anarchist', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#880808', 'clan': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}, 'primary_guild': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-07-03 11:49:43] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-07-03 11:49:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-5htx",{"micros":0.0}]']}}
[2026-07-03 11:49:43] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-07-03 11:49:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
